"","depth_mm","Ti"
"X368",44.2,35.1605839416058
"X369",44.3,34.3021582733813
"X370",44.4,34.2642857142857
"X371",44.5,34.5384615384615
"X372",44.6,37.4014084507042
"X373",44.7,34.6985294117647
"X374",44.8,39.2677165354331
"X375",44.9,34.0887096774194
"X376",45,34.1044776119403
"X377",45.1,33.5107913669065
"X378",45.2,33.5588235294118
"X379",45.3,34.8222222222222
"X380",45.4,34.6029411764706
"X381",45.5,36.3309352517986
"X382",45.6,36.036496350365
"X383",45.7,33.6619718309859
"X384",45.8,36
"X385",45.9,34.2461538461538
"X386",46,30.7835820895522
"X387",46.1,33.9208633093525
"X388",46.2,35.3587786259542
"X389",46.3,32.2
"X390",46.4,31.1854838709677
"X391",46.5,29.712
"X392",46.6,29.68
"X393",46.7,27.0614035087719
"X394",46.8,28.3333333333333
"X395",46.9,27.8190476190476
"X396",47,22.375
"X397",47.1,22.5247524752475
"X398",47.2,21.1368421052632
"X399",47.3,16.7156862745098
"X400",47.4,17.1881188118812
"X401",47.5,22.4528301886792
"X402",47.6,22.2803738317757
"X403",47.7,23.7570093457944
"X404",47.8,23.0754716981132
"X405",47.9,23.6216216216216
"X406",48,24.495652173913
"X407",48.1,23.4435483870968
"X408",48.2,25.1610169491525
"X409",48.3,28.0862068965517
"X410",48.4,24.9327731092437
"X411",48.5,26.2894736842105
"X412",48.6,24.2385321100917
"X413",48.7,24.7087378640777
"X414",48.8,26.26
"X415",48.9,26.48
"X416",49,24.552380952381
"X417",49.1,24.2566371681416
"X418",49.2,29.5948275862069
"X419",49.3,25.9024390243902
"X420",49.4,29.0555555555556
"X421",49.5,31.3387096774194
"X422",49.6,32.3308270676692
"X423",49.7,32.9259259259259
"X424",49.8,34.9185185185185
"X425",49.9,38.2148148148148
"X426",50,33.5281690140845
"X427",50.1,32.978102189781
"X428",50.2,32.0071942446043
"X429",50.3,33.273381294964
"X430",50.4,33.3055555555556
"X431",50.5,34.7253521126761
"X432",50.6,35.3819444444444
"X433",50.7,34.5664335664336
"X434",50.8,33.2642857142857
"X435",50.9,32.4057971014493
"X436",51,31.1231884057971
"X437",51.1,31.1353383458647
"X438",51.2,31.4962406015038
"X439",51.3,35.3731343283582
"X440",51.4,32.8
"X441",51.5,32.456
"X442",51.6,29.453125
"X443",51.7,29.5537190082645
"X444",51.8,28.547619047619
"X445",51.9,28.3968253968254
"X446",52,28.2913385826772
"X447",52.1,28.424
"X448",52.2,27.8992248062016
"X449",52.3,28.4366197183099
"X450",52.4,27.0428571428571
"X451",52.5,25.4642857142857
"X452",52.6,24.8652482269504
"X453",52.7,24.6293706293706
"X454",52.8,22.52
"X455",52.9,25.9863945578231
