"","depth_mm","Ca"
"2070",202.175,297.221739130435
"2071",202.275,305.769565217391
"2072",202.375,313.352173913043
"2073",202.475,321.55652173913
"2074",202.575,325.421739130435
"2075",202.675,320.078260869565
"2076",202.775,300.373913043478
"2077",202.875,307.652173913043
"2078",202.975,321.108695652174
"2079",203.075,328.04347826087
"2080",203.175,323.765217391304
"2081",203.275,327.869565217391
"2082",203.375,323.730434782609
"2083",203.475,312.646288209607
"2084",203.575,315.828947368421
"2085",203.675,331.926086956522
"2086",203.775,329.526086956522
"2087",203.875,334.739130434783
"2088",203.975,329.2
"2089",204.075,314.921739130435
"2090",204.175,332.021739130435
"2091",204.275,337.034782608696
"2092",204.375,320.34347826087
"2093",204.475,319.173913043478
"2094",204.575,314.095652173913
"2095",204.675,312.447826086957
"2096",204.775,321.134782608696
"2097",204.875,312.830434782609
"2098",204.975,316.808695652174
"2099",205.075,322.15652173913
"2100",205.175,326.160869565217
"2101",205.275,316.869565217391
"2102",205.375,313.539130434783
"2103",205.475,323.591304347826
"2104",205.575,322.534782608696
"2105",205.675,330.226086956522
"2106",205.775,325.378260869565
"2107",205.875,339.486956521739
"2108",205.975,337.286956521739
"2109",206.075,330.417391304348
"2110",206.175,345.582608695652
"2111",206.275,355.882608695652
"2112",206.375,359.608695652174
"2113",206.475,376.578260869565
"2114",206.575,380.886956521739
"2115",206.675,386.239130434783
"2116",206.775,382.565217391304
"2117",206.875,388.573913043478
"2118",206.975,393.026086956522
"2119",207.075,394.15652173913
"2120",207.175,397.717391304348
"2121",207.275,397.478260869565
"2122",207.375,410.65652173913
"2123",207.475,423.217391304348
"2124",207.575,431.017391304348
"2125",207.675,456.426086956522
"2126",207.775,449.439130434783
"2127",207.875,449.730434782609
"2128",207.975,461.952173913043
"2129",208.075,455.947826086957
"2130",208.175,452.417391304348
"2131",208.275,449.895652173913
"2132",208.375,436.791304347826
"2133",208.475,454.991304347826
"2134",208.575,452.421739130435
"2135",208.675,458.886956521739
"2136",208.775,453.94347826087
"2137",208.875,458.952173913043
"2138",208.975,471.465217391304
"2139",209.075,467.808695652174
"2140",209.175,487.595652173913
"2141",209.275,486.765217391304
"2142",209.375,491.060869565217
"2143",209.475,490.391304347826
"2144",209.575,485.578260869565
"2145",209.675,499.1
"2146",209.775,483.995652173913
"2147",209.875,486.34347826087
"2148",209.975,512.469565217391
"2149",210.075,506.430434782609
"2150",210.175,482.991304347826
"2151",210.275,483.247826086957
"2152",210.375,484.717391304348
"2153",210.475,481.360869565217
"2154",210.575,473.969565217391
"2155",210.675,483.813043478261
