DEPTH_WMSF,HCGR,helper
24.5364,5.7188,1
24.6888,6.4104,1
24.8412,7.178,1
24.9936,6.734,1
25.146,5.28,1
25.2984,5.1004,1
25.4508,4.7756,1
25.6032,5.2368,1
25.7556,5.6604,1
25.908,5.7984,1
26.0604,5.552,1
26.2128,5.776,1
26.3652,6.2592,1
26.5176,5.4368,1
26.67,4.1896,1
26.8224,3.8412,1
26.9748,5.0928,1
27.1272,4.8556,1
27.2796,4.6728,1
27.432,5.0236,1
27.5844,4.9496,1
27.7368,5.696,1
27.8892,5.876,1
28.0416,4.9036,1
28.194,5.008,1
28.3464,6.4604,1
28.4988,6.8452,1
28.6512,6.708,1
28.8036,5.55,1
28.956,5.3708,1
29.1084,5.1056,1
29.2608,5.51,1
29.4132,5.1668,1
29.5656,4.918,1
29.718,4.2672,1
29.8704,3.7812,1
30.0228,3.8608,1
30.1752,5.722,1
30.3276,5.2716,1
30.48,5.2976,1
30.6324,5.4232,1
30.7848,5.3508,1
30.9372,6.5716,1
31.0896,8.5928,1
31.242,9.3168,1
31.3944,9.7392,1
31.5468,9.0084,1
31.6992,9.7724,1
31.8516,9.1836,1
32.004,9.2804,1
32.1564,7.742,1
32.3088,6.554,1
32.4612,7.476,1
32.6136,9.2524,1
32.766,7.3456,1
32.9184,5.8616,1
33.0708,5.3704,1
33.2232,5.5116,1
33.3756,6.7364,1
33.528,8.1536,1
33.6804,9.1344,1
33.8328,8.9168,1
33.9852,8.64,1
34.1376,8.4708,1
34.29,7.668,1
34.4424,7.9228,1
34.5948,7.1488,1
34.7472,6.3212,1
34.8996,5.8292,1
35.052,6.5136,1
35.2044,5.7168,1
35.3568,4.6556,1
35.5092,4.932,1
35.6616,4.8176,1
35.814,5.566,1
35.9664,6.5616,1
36.1188,6.7856,1
36.2712,5.9264,1
36.4236,6.2996,1
36.576,6.7464,1
36.7284,6.8876,1
36.8808,7.2744,1
37.0332,7.8716,1
37.1856,7.8704,1
37.338,7.0764,1
37.4904,6.4256,1
37.6428,6.3716,1
37.7952,6.1352,1
37.9476,5.934,1
38.1,6.0612,1
38.2524,5.6968,1
38.4048,5.0536,1
38.5572,4.9004,1
38.7096,4.8344,1
38.862,4.586,1
39.0144,4.6512,1
39.1668,4.3608,1
39.3192,3.4036,1
39.4716,3.1864,1
39.624,3.3284,1
39.7764,3.4804,1
39.9288,3.8144,1
40.0812,4.5496,1
40.2336,4.7596,1
40.386,5.6796,1
40.5384,5.91,1
40.6908,6.314,1
40.8432,7.4852,1
40.9956,7.4432,1
41.148,6.9924,1
41.3004,7.2192,1
41.4528,5.8636,1
41.6052,5.7608,1
