"","depth_mm","Ti"
"X571",57,2.47029702970297
"X572",57.1,2.88297872340426
"X573",57.2,2.89637305699482
"X574",57.3,3.285
"X575",57.4,2.9119170984456
"X576",57.5,3.06666666666667
"X577",57.6,2.92268041237113
"X578",57.7,2.41988950276243
"X579",57.8,2.06417112299465
"X580",57.9,1.96825396825397
"X581",58,1.84444444444444
"X582",58.1,1.86127167630058
"X583",58.2,2.10243902439024
"X584",58.3,2.04864864864865
"X585",58.4,2.52222222222222
"X586",58.5,2.55135135135135
"X587",58.6,2.18681318681319
"X588",58.7,1.81609195402299
"X589",58.8,1.73157894736842
"X590",58.9,1.81714285714286
"X591",59,2.16149068322981
"X592",59.1,2.07821229050279
"X593",59.2,2.13157894736842
"X594",59.3,1.98550724637681
"X595",59.4,1.8956043956044
"X596",59.5,1.93085106382979
"X597",59.6,2.0765306122449
"X598",59.7,2
"X599",59.8,2.00523560209424
"X600",59.9,2.10160427807487
"X601",60,2.10404624277457
"X602",60.1,2.21319796954315
"X603",60.2,2.04469273743017
"X604",60.3,2.18681318681319
"X605",60.4,1.93103448275862
"X606",60.5,2.06741573033708
"X607",60.6,2.234375
"X608",60.7,2.046875
"X609",60.8,2.22631578947368
"X610",60.9,2.04255319148936
"X611",61,1.86875
"X612",61.1,1.74157303370787
"X613",61.2,1.56024096385542
"X614",61.3,1.58181818181818
"X615",61.4,1.54651162790698
"X616",61.5,1.6144578313253
"X617",61.6,1.67515923566879
"X618",61.7,1.71140939597315
"X619",61.8,1.50649350649351
"X620",61.9,1.49397590361446
"X621",62,1.61313868613139
"X622",62.1,1.50993377483444
"X623",62.2,1.6530612244898
"X624",62.3,1.45945945945946
"X625",62.4,1.56291390728477
"X626",62.5,1.53289473684211
"X627",62.6,1.63803680981595
"X628",62.7,1.68354430379747
"X629",62.8,1.66225165562914
"X630",62.9,1.78481012658228
"X631",63,1.69182389937107
"X632",63.1,1.78857142857143
"X633",63.2,1.63483146067416
"X634",63.3,1.68789808917197
"X635",63.4,1.58620689655172
"X636",63.5,1.61271676300578
"X637",63.6,1.6280487804878
"X638",63.7,1.73099415204678
"X639",63.8,1.63057324840764
"X640",63.9,1.76966292134831
"X641",64,1.6878612716763
"X642",64.1,1.53260869565217
"X643",64.2,1.88826815642458
"X644",64.3,1.79234972677596
"X645",64.4,1.84126984126984
"X646",64.5,2.0225988700565
"X647",64.6,2.00510204081633
"X648",64.7,1.88
"X649",64.8,1.92934782608696
"X650",64.9,1.88068181818182
"X651",65,1.85567010309278
"X652",65.1,2.32085561497326
"X653",65.2,2.60752688172043
"X654",65.3,2.85263157894737
"X655",65.4,2.57142857142857
"X656",65.5,2.45744680851064
"X657",65.6,2.63297872340426
"X658",65.7,2.35483870967742
"X659",65.8,2.27368421052632
"X660",65.9,3.15789473684211
"X661",66,3.89756097560976
"X662",66.1,3.10204081632653
"X663",66.2,2.92227979274611
"X664",66.3,2.52659574468085
"X665",66.4,2.885
"X666",66.5,2.82843137254902
"X667",66.6,2.78048780487805
"X668",66.7,2.90686274509804
"X669",66.8,2.77941176470588
"X670",66.9,2.495
"X671",67,2.92344497607656
"X672",67.1,3.14423076923077
"X673",67.2,3.81914893617021
"X674",67.3,3.38341968911917
"X675",67.4,2.05759162303665
"X676",67.5,2.1063829787234
"X677",67.6,1.88333333333333
"X678",67.7,1.98913043478261
"X679",67.8,2.21538461538462
"X680",67.9,2.30978260869565
"X681",68,2.19402985074627
"X682",68.1,2.42131979695431
"X683",68.2,2.40487804878049
"X684",68.3,2.66666666666667
"X685",68.4,2.45876288659794
"X686",68.5,2.54945054945055
"X687",68.6,2.74384236453202
"X688",68.7,2.5
"X689",68.8,2.5
"X690",68.9,2.23958333333333
"X691",69,2.1005291005291
"X692",69.1,1.984375
"X693",69.2,1.88524590163934
"X694",69.3,2.11229946524064
"X695",69.4,1.99487179487179
"X696",69.5,2.09625668449198
"X697",69.6,1.89784946236559
"X698",69.7,2.23711340206186
"X699",69.8,2.46031746031746
"X700",69.9,2.68421052631579
"X701",70,2.57219251336898
"X702",70.1,2.50990099009901
"X703",70.2,2.48717948717949
"X704",70.3,2.43956043956044
"X705",70.4,2.62962962962963
"X706",70.5,2.48663101604278
"X707",70.6,2.78835978835979
"X708",70.7,2.72395833333333
"X709",70.8,2.64356435643564
"X710",70.9,2.30733944954128
"X711",71,2.39175257731959
"X712",71.1,2.45360824742268
"X713",71.2,2.64210526315789
"X714",71.3,2.84491978609626
"X715",71.4,2.734375
"X716",71.5,3.24630541871921
"X717",71.6,3.22279792746114
"X718",71.7,3.54301075268817
"X719",71.8,3.48325358851675
"X720",71.9,3.65
"X721",72,3.90909090909091
"X722",72.1,3.54976303317536
"X723",72.2,3.64
"X724",72.3,3.72549019607843
"X725",72.4,3.48768472906404
"X726",72.5,3.30845771144279
"X727",72.6,3.06878306878307
"X728",72.7,3.41346153846154
"X729",72.8,3.67171717171717
"X730",72.9,3.42857142857143
"X731",73,3.50746268656716
"X732",73.1,3.30331753554502
"X733",73.2,3.09047619047619
"X734",73.3,3.13065326633166
"X735",73.4,3.25380710659898
"X736",73.5,2.95408163265306
"X737",73.6,2.95979899497487
"X738",73.7,2.81592039800995
"X739",73.8,3.0969387755102
"X740",73.9,3.34
"X741",74,3.17277486910995
"X742",74.1,3.35748792270531
"X743",74.2,3.71428571428571
"X744",74.3,3.93119266055046
"X745",74.4,3.71065989847716
"X746",74.5,3.13170731707317
"X747",74.6,3.18483412322275
"X748",74.7,3.58536585365854
"X749",74.8,4.19742489270386
"X750",74.9,3.77358490566038
"X751",75,3.41552511415525
"X752",75.1,3.53703703703704
"X753",75.2,4.34579439252336
"X754",75.3,4.215859030837
"X755",75.4,3.55045871559633
"X756",75.5,3.29411764705882
"X757",75.6,3.49350649350649
"X758",75.7,3.23737373737374
"X759",75.8,3.16326530612245
"X760",75.9,3.5273631840796
"X761",76,3.57013574660634
"X762",76.1,3.58571428571429
"X763",76.2,3.25592417061611
"X764",76.3,3.85576923076923
"X765",76.4,3.06103286384977
"X766",76.5,3.24630541871921
"X767",76.6,2.63131313131313
"X768",76.7,2.47938144329897
"X769",76.8,2.62631578947368
"X770",76.9,2.43617021276596
"X771",77,2.34146341463415
"X772",77.1,2.11666666666667
"X773",77.2,2.02298850574713
"X774",77.3,2.07182320441989
"X775",77.4,2.29608938547486
"X776",77.5,2.61578947368421
"X777",77.6,2.63541666666667
"X778",77.7,2.38235294117647
"X779",77.8,1.95212765957447
"X780",77.9,1.96703296703297
"X781",78,1.98285714285714
"X782",78.1,1.93220338983051
"X783",78.2,1.95121951219512
"X784",78.3,1.89714285714286
"X785",78.4,1.85875706214689
"X786",78.5,1.88068181818182
"X787",78.6,1.88235294117647
"X788",78.7,2.09090909090909
"X789",78.8,1.92024539877301
"X790",78.9,1.70114942528736
"X791",79,1.65895953757225
"X792",79.1,1.75471698113208
"X793",79.2,1.79329608938547
"X794",79.3,1.90588235294118
"X795",79.4,1.88439306358382
"X796",79.5,2.13559322033898
"X797",79.6,2.15217391304348
"X798",79.7,1.95209580838323
"X799",79.8,2.17222222222222
"X800",79.9,2.62365591397849
"X801",80,3.07936507936508
"X802",80.1,2.56451612903226
"X803",80.2,2.24571428571429
"X804",80.3,2.01829268292683
"X805",80.4,2.03086419753086
"X806",80.5,1.87222222222222
"X807",80.6,1.85393258426966
"X808",80.7,2.78823529411765
"X809",80.8,2.12
"X810",80.9,1.80459770114943
"X811",81,1.84269662921348
"X812",81.1,1.92090395480226
"X813",81.2,1.98181818181818
"X814",81.3,2.12337662337662
"X815",81.4,1.73255813953488
"X816",81.5,2.16959064327485
"X817",81.6,1.83870967741935
"X818",81.7,1.67647058823529
"X819",81.8,2.34730538922156
"X820",81.9,2.84745762711864
"X821",82,2.08982035928144
"X822",82.1,1.92993630573248
"X823",82.2,1.74233128834356
"X824",82.3,1.64473684210526
"X825",82.4,1.9047619047619
"X826",82.5,1.69714285714286
"X827",82.6,1.86060606060606
"X828",82.7,1.83720930232558
"X829",82.8,1.80571428571429
"X830",82.9,1.97237569060773
"X831",83,1.7202380952381
"X832",83.1,1.92571428571429
"X833",83.2,2.12087912087912
"X834",83.3,2.43502824858757
"X835",83.4,2.02105263157895
"X836",83.5,2.03314917127072
"X837",83.6,2.12903225806452
"X838",83.7,2.2713567839196
"X839",83.8,2.47236180904523
"X840",83.9,2.17934782608696
"X841",84,2.54871794871795
"X842",84.1,2.32085561497326
"X843",84.2,2.41752577319588
"X844",84.3,2.66990291262136
"X845",84.4,2.32338308457711
"X846",84.5,2.18041237113402
"X847",84.6,3.48989898989899
"X848",84.7,4.26699029126214
"X849",84.8,4.795
"X850",84.9,4.63978494623656
"X851",85,4.75956284153005
"X852",85.1,4.11111111111111
"X853",85.2,4.28402366863905
"X854",85.3,4.6978021978022
"X855",85.4,4.3248730964467
"X856",85.5,4.25373134328358
"X857",85.6,4.08290155440415
"X858",85.7,4.31491712707182
"X859",85.8,3.7967032967033
"X860",85.9,4.33939393939394
"X861",86,4.84615384615385
"X862",86.1,5.91005291005291
"X863",86.2,5.77401129943503
"X864",86.3,4.31446540880503
"X865",86.4,4.22641509433962
"X866",86.5,4.07317073170732
"X867",86.6,4.26162790697674
"X868",86.7,3.32258064516129
"X869",86.8,2.45
"X870",86.9,2.25555555555556
"X871",87,1.95333333333333
"X872",87.1,2.08571428571429
"X873",87.2,2.03846153846154
"X874",87.3,2.0059880239521
"X875",87.4,2.03296703296703
"X876",87.5,1.72121212121212
"X877",87.6,1.72727272727273
"X878",87.7,1.70108695652174
"X879",87.8,1.49375
"X880",87.9,1.49142857142857
"X881",88,1.61963190184049
"X882",88.1,1.57046979865772
"X883",88.2,1.82080924855491
"X884",88.3,1.70658682634731
"X885",88.4,1.70949720670391
"X886",88.5,1.98203592814371
"X887",88.6,1.66489361702128
"X888",88.7,1.71428571428571
"X889",88.8,1.74742268041237
"X890",88.9,1.63793103448276
"X891",89,1.76923076923077
"X892",89.1,1.63684210526316
"X893",89.2,1.94148936170213
"X894",89.3,1.84444444444444
"X895",89.4,1.85365853658537
"X896",89.5,1.71354166666667
"X897",89.6,1.82323232323232
"X898",89.7,1.71676300578035
"X899",89.8,1.76884422110553
"X900",89.9,1.84736842105263
"X901",90,1.77319587628866
"X902",90.1,2.11594202898551
"X903",90.2,2.14646464646465
"X904",90.3,1.8030303030303
"X905",90.4,1.97872340425532
"X906",90.5,1.9047619047619
"X907",90.6,1.73584905660377
"X908",90.7,1.83769633507853
"X909",90.8,1.79899497487437
"X910",90.9,1.76328502415459
"X911",91,1.74871794871795
"X912",91.1,1.71634615384615
"X913",91.2,1.75238095238095
"X914",91.3,1.71875
"X915",91.4,1.96682464454976
"X916",91.5,1.76555023923445
