metres,GR,helper
161.2392,11.4684,1
161.3916,11.4564,1
161.544,10.449,1
161.6964,9.6494,1
161.8488,9.4148,1
162.0012,10.283,1
162.1536,10.1112,1
162.306,9.9536,1
162.4584,9.936,1
162.6108,10.6626,1
162.7632,11.3214,1
162.9156,11.3552,1
163.068,10.4202,1
163.2204,10.2862,1
163.3728,9.9373,1
163.5252,9.3846,1
163.6776,9.5829,1
163.83,9.4828,1
163.9824,8.7707,1
164.1348,8.5579,1
164.2872,9.9972,1
164.4396,10.6715,1
164.592,10.6086,1
164.7444,10.2357,1
164.8968,11.0048,1
165.0492,11.0535,1
165.2016,11.1668,1
165.354,11.6238,1
165.5064,10.7882,1
165.6588,11.0226,1
165.8112,11.7637,1
165.9636,12.3609,1
166.116,12.8899,1
166.2684,13.0573,1
166.4208,12.3162,1
166.5732,11.5684,1
166.7256,11.1028,1
166.878,11.1925,1
167.0304,12.1345,1
167.1828,12.5005,1
167.3352,13.0935,1
167.4876,13.6872,1
167.64,13.5929,1
167.7924,13.9087,1
167.9448,14.2679,1
168.0972,13.7305,1
168.2496,13.8686,1
168.402,13.9467,1
168.5544,13.3196,1
168.7068,13.0768,1
168.8592,12.8391,1
169.0116,12.4667,1
169.164,12.2524,1
169.3164,11.9306,1
169.4688,11.412,1
169.6212,11.4757,1
169.7736,11.782,1
169.926,11.2592,1
170.0784,10.609,1
170.2308,9.7744,1
170.3832,8.7841,1
170.5356,8.86,1
170.688,9.3472,1
170.8404,8.9645,1
170.9928,8.3336,1
171.1452,8.4993,1
171.2976,8.9476,1
171.45,8.6152,1
171.6024,8.2719,1
171.7548,8.1519,1
171.9072,8.498,1
172.0596,7.9312,1
172.212,7.1753,1
172.3644,7.9929,1
172.5168,8.1593,1
172.6692,7.9369,1
172.8216,8.1069,1
172.974,8.7154,1
173.1264,9.666,1
173.2788,10.0138,1
173.4312,8.9926,1
173.5836,7.9047,1
173.736,7.8702,1
173.8884,8.956,1
174.0408,10.146,1
174.1932,11.028,1
174.3456,11.8331,1
174.498,12.1612,1
174.6504,11.1459,1
174.8028,11.3478,1
174.9552,11.6922,1
175.1076,10.708,1
175.26,10.6236,1
175.4124,10.6983,1
175.5648,10.8018,1
175.7172,10.9212,1
175.8696,10.7949,1
176.022,10.6597,1
176.1744,10.0512,1
176.3268,8.862,1
176.4792,8.0085,1
176.6316,7.7152,1
176.784,7.7345,1
176.9364,7.7691,1
177.0888,7.9951,1
177.2412,8.4834,1
177.3936,8.1411,1
177.546,7.7193,1
177.6984,7.8234,1
177.8508,8.072,1
178.0032,8.2742,1
178.1556,9.1714,1
178.308,9.9075,1
178.4604,9.7782,1
178.6128,9.974,1
178.7652,9.6646,1
178.9176,9.1898,1
179.07,9.1151,1
179.2224,8.4813,1
179.3748,7.7766,1
179.5272,7.8423,1
179.6796,9.6533,1
179.832,11.223,1
179.9844,11.5166,1
180.1368,11.6128,1
180.2892,11.6077,1
180.4416,11.7155,1
180.594,12.4015,1
180.7464,13.111,1
180.8988,12.7123,1
181.0512,11.9239,1
181.2036,12.6211,1
181.356,12.432,1
181.5084,11.0661,1
181.6608,10.585,1
181.8132,10.2149,1
181.9656,9.5272,1
182.118,9.7533,1
182.2704,10.6315,1
182.4228,11.0194,1
182.5752,10.9252,1
182.7276,10.6647,1
182.88,9.8762,1
183.0324,9.9024,1
183.1848,10.0712,1
183.3372,9.623,1
183.4896,9.732,1
183.642,10.1606,1
183.7944,10.1061,1
183.9468,9.3261,1
184.0992,8.8812,1
184.2516,8.7571,1
184.404,8.845,1
184.5564,9.0943,1
184.7088,9.1973,1
184.8612,8.985,1
185.0136,8.8927,1
185.166,8.5383,1
185.3184,7.6221,1
185.4708,8.5224,1
185.6232,8.5161,1
185.7756,7.7915,1
185.928,7.4683,1
186.0804,7.5197,1
186.2328,7.4915,1
186.3852,8.2395,1
186.5376,8.9706,1
186.69,9.7362,1
186.8424,10.4288,1
186.9948,10.6698,1
187.1472,10.1503,1
187.2996,10.1768,1
187.452,10.5174,1
187.6044,11.0467,1
187.7568,11.6405,1
187.9092,12.1589,1
188.0616,12.3307,1
188.214,11.0882,1
188.3664,11.0313,1
188.5188,10.0742,1
188.6712,8.6829,1
188.8236,8.0688,1
188.976,7.8728,1
189.1284,8.2227,1
189.2808,9.1245,1
189.4332,10.4727,1
189.5856,10.6926,1
189.738,9.8421,1
189.8904,9.1801,1
190.0428,10.334,1
190.1952,10.4114,1
190.3476,9.8029,1
190.5,9.3214,1
190.6524,9.5992,1
190.8048,9.6134,1
190.9572,8.2261,1
191.1096,7.623,1
191.262,8.0086,1
191.4144,9.0614,1
191.5668,8.6609,1
191.7192,7.6833,1
191.8716,7.6174,1
192.024,8.2068,1
192.1764,8.4692,1
192.3288,8.3766,1
192.4812,6.7779,1
192.6336,6.6397,1
192.786,6.5571,1
192.9384,6.5319,1
193.0908,6.5025,1
193.2432,6.4397,1
193.3956,6.6761,1
193.548,7.1514,1
193.7004,7.8656,1
193.8528,9.0123,1
194.0052,9.5915,1
194.1576,8.8197,1
194.31,7.6102,1
194.4624,7.0676,1
194.6148,7.1391,1
194.7672,7.5299,1
194.9196,8.0593,1
195.072,7.5413,1
195.2244,7.4084,1
195.3768,8.0997,1
195.5292,8.6378,1
195.6816,8.9881,1
195.834,9.3992,1
195.9864,9.0886,1
196.1388,9.0486,1
196.2912,9.0133,1
196.4436,8.3391,1
196.596,8.491,1
196.7484,9.1159,1
196.9008,9.2032,1
197.0532,8.6383,1
197.2056,8.0343,1
197.358,7.8146,1
197.5104,7.2964,1
197.6628,7.9225,1
197.8152,8.2519,1
197.9676,8.0253,1
198.12,7.7418,1
198.2724,7.8419,1
198.4248,7.5517,1
198.5772,6.9772,1
198.7296,6.9464,1
198.882,7.0215,1
199.0344,6.8827,1
199.1868,6.9043,1
199.3392,7.9617,1
199.4916,8.6532,1
199.644,9.1714,1
199.7964,9.2389,1
199.9488,8.8842,1
200.1012,9.1338,1
200.2536,9.156,1
200.406,8.7378,1
200.5584,9.3011,1
200.7108,9.9684,1
200.8632,9.5748,1
201.0156,9.0424,1
201.168,8.8094,1
201.3204,8.6885,1
201.4728,8.3203,1
201.6252,8.2976,1
201.7776,9.236,1
201.93,9.8127,1
202.0824,9.2881,1
202.2348,8.7386,1
202.3872,8.5671,1
202.5396,8.6465,1
