"","depth_mm","Mn"
"92",8.645,35.2375690607735
"93",8.74,34.3701657458564
"94",8.835,35.6298342541436
"95",8.93,34.0662983425414
"96",9.025,35.2154696132597
"97",9.12,35.9779005524862
"98",9.215,35.475138121547
"99",9.31,33.8895027624309
"100",9.405,34.3867403314917
"101",9.5,34.5580110497238
"102",9.595,34.2209944751381
"103",9.69,34.060773480663
"104",9.785,35.939226519337
"105",9.88,34.1988950276243
"106",9.975,34.7458563535912
"107",10.07,35.2430939226519
"108",10.165,34.8508287292818
"109",10.26,34.4475138121547
"110",10.355,35.7955801104972
"111",10.45,35.8011049723757
"112",10.545,36.6850828729282
"113",10.64,36.7348066298343
"114",10.735,37.2044198895028
"115",10.83,35.828729281768
"116",10.925,36.2707182320442
"117",11.02,34.1049723756906
"118",11.115,35.2486187845304
"119",11.21,33.7127071823204
"120",11.305,35.475138121547
"121",11.4,34.0773480662983
"122",11.495,34.7127071823204
"123",11.59,34.646408839779
"124",11.685,33.7624309392265
"125",11.78,34.939226519337
"126",11.875,34.9171270718232
"127",11.97,34.8232044198895
"128",12.065,34.3646408839779
"129",12.16,33.8066298342541
"130",12.255,35.8508287292818
"131",12.35,34.1546961325967
"132",12.445,34.5690607734807
"133",12.54,34.3093922651934
"134",12.635,33.4198895027624
"135",12.73,33.0165745856354
"136",12.825,33.5580110497238
"137",12.92,33.5635359116022
"138",13.015,33.5303867403315
"139",13.11,33.4198895027624
"140",13.205,33.0552486187845
"141",13.3,32.4972375690608
"142",13.395,32.6906077348066
"143",13.49,32.9337016574586
"144",13.585,33.0939226519337
"145",13.68,31.9779005524862
"146",13.775,33.3646408839779
"147",13.87,33.3370165745856
"148",13.965,32.8342541436464
"149",14.06,32.0718232044199
"150",14.155,31.5193370165746
"151",14.25,31.5580110497238
"152",14.345,32.2154696132597
"153",14.44,31.9226519337017
"154",14.535,33.2817679558011
"155",14.63,32.6077348066298
"156",14.725,32.7513812154696
"157",14.82,31.8011049723757
"158",14.915,32.2872928176796
"159",15.01,32.5027624309392
"160",15.105,31.0828729281768
"161",15.2,31.0883977900553
"162",15.295,31.3204419889503
