"","depth_mm","Si"
"133",12.54,2.57668711656442
"134",12.635,2.5379746835443
"135",12.73,2.6890243902439
"136",12.825,2.62025316455696
"137",12.92,2.74251497005988
"138",13.015,2.5625
"139",13.11,2.5
"140",13.205,2.52380952380952
"141",13.3,2.53614457831325
"142",13.395,2.54658385093168
"143",13.49,2.43975903614458
"144",13.585,2.50887573964497
"145",13.68,2.81481481481481
"146",13.775,2.70440251572327
"147",13.87,2.55757575757576
"148",13.965,2.60759493670886
"149",14.06,2.67295597484277
"150",14.155,2.66470588235294
"151",14.25,2.60126582278481
"152",14.345,2.625
"153",14.44,2.74842767295597
"154",14.535,2.66265060240964
"155",14.63,2.84242424242424
"156",14.725,2.55974842767296
"157",14.82,2.52046783625731
"158",14.915,2.59119496855346
"159",15.01,2.55
"160",15.105,2.4875
"161",15.2,2.37423312883436
"162",15.295,2.55696202531646
"163",15.39,2.50909090909091
"164",15.485,2.45751633986928
"165",15.58,2.3855421686747
"166",15.675,2.3961038961039
"167",15.77,2.37333333333333
"168",15.865,2.31168831168831
"169",15.96,2.36486486486486
"170",16.055,2.27950310559006
"171",16.15,2.36129032258065
"172",16.245,2.3112582781457
"173",16.34,2.43125
"174",16.435,2.21019108280255
"175",16.53,2.4746835443038
"176",16.625,2.24324324324324
"177",16.72,2.125
"178",16.815,2.29801324503311
"179",16.91,2.12337662337662
"180",17.005,2.10596026490066
"181",17.1,2.09554140127389
"182",17.195,2.08843537414966
"183",17.29,2.26174496644295
"184",17.385,2.08609271523179
"185",17.48,2.17985611510791
"186",17.575,2.12244897959184
"187",17.67,1.97931034482759
"188",17.765,2.11029411764706
"189",17.86,2.04
"190",17.955,2.04166666666667
"191",18.05,2.04411764705882
"192",18.145,2.04166666666667
"193",18.24,1.9205298013245
"194",18.335,2.13475177304965
"195",18.43,2.13475177304965
"196",18.525,2.05755395683453
"197",18.62,1.85234899328859
"198",18.715,1.84090909090909
"199",18.81,1.84090909090909
"200",18.905,1.95070422535211
"201",19,1.76428571428571
"202",19.095,2.07692307692308
"203",19.19,1.9469696969697
"204",19.285,1.96992481203008
"205",19.38,1.73076923076923
"206",19.475,1.88970588235294
"207",19.57,1.890625
"208",19.665,2.02941176470588
"209",19.76,1.95588235294118
"210",19.855,1.70503597122302
"211",19.95,1.92957746478873
"212",20.045,1.97794117647059
"213",20.14,1.97972972972973
"214",20.235,1.8
"215",20.33,1.92028985507246
"216",20.425,1.765625
"217",20.52,1.94202898550725
"218",20.615,1.90344827586207
"219",20.71,1.8705035971223
"220",20.805,1.78571428571429
"221",20.9,2.05555555555556
"222",20.995,2.09489051094891
"223",21.09,1.96575342465753
"224",21.185,2.05442176870748
"225",21.28,2.02777777777778
"226",21.375,1.93661971830986
"227",21.47,1.90225563909774
"228",21.565,1.92753623188406
"229",21.66,1.95744680851064
"230",21.755,2.03472222222222
"231",21.85,1.94366197183099
"232",21.945,2.13793103448276
"233",22.04,2.13605442176871
"234",22.135,2.01481481481481
"235",22.23,2.02684563758389
"236",22.325,1.96240601503759
"237",22.42,2.06164383561644
"238",22.515,2.09219858156028
"239",22.61,2.01369863013699
"240",22.705,1.92481203007519
"241",22.8,2.06206896551724
"242",22.895,1.99300699300699
"243",22.99,1.96575342465753
"244",23.085,2.18791946308725
"245",23.18,2.00699300699301
