"","depth_mm","Fe"
"X778",85.2,767.43842364532
"X779",85.3,812.152709359606
"X780",85.4,857.748768472906
"X781",85.5,838.172413793103
"X782",85.6,873.724137931035
"X783",85.7,882.187192118227
"X784",85.8,862.305418719212
"X785",85.9,836.197044334975
"X786",86,829.862068965517
"X787",86.1,864.147783251232
"X788",86.2,874.423645320197
"X789",86.3,912.43842364532
"X790",86.4,923.610837438424
"X791",86.5,947.261083743842
"X792",86.6,965.285714285714
"X793",86.7,940.684729064039
"X794",86.8,926.044334975369
"X795",86.9,935.206896551724
"X796",87,919.354679802956
"X797",87.1,924.458128078818
"X798",87.2,937.399014778325
"X799",87.3,933.497536945813
"X800",87.4,929.310344827586
"X801",87.5,939.394088669951
"X802",87.6,912.014778325123
"X803",87.7,885.566502463054
"X804",87.8,889.349753694581
"X805",87.9,905.881773399015
"X806",88,878.738916256158
"X807",88.1,898.92118226601
"X808",88.2,892.369458128079
"X809",88.3,861.507389162562
"X810",88.4,878.354679802956
"X811",88.5,857.837438423645
"X812",88.6,852.290640394089
"X813",88.7,814.995073891626
"X814",88.8,801.684729064039
"X815",88.9,797.857142857143
"X816",89,796.87684729064
"X817",89.1,795.068965517241
"X818",89.2,792.12315270936
"X819",89.3,747.472906403941
"X820",89.4,740.738916256158
"X821",89.5,732.87684729064
"X822",89.6,727.935960591133
"X823",89.7,729.064039408867
"X824",89.8,718.812807881773
"X825",89.9,686.620689655172
"X826",90,673.320197044335
"X827",90.1,688.935960591133
"X828",90.2,658.128078817734
"X829",90.3,624.630541871921
"X830",90.4,588.241379310345
"X831",90.5,557.807881773399
"X832",90.6,565.231527093596
"X833",90.7,568.827586206897
"X834",90.8,539.768472906404
"X835",90.9,563.738916256158
"X836",91,607.965517241379
"X837",91.1,614.093596059113
"X838",91.2,713.817733990148
"X839",91.3,659.871921182266
"X840",91.4,704.197044334975
"X841",91.5,614.965517241379
"X842",91.6,663.443349753695
"X843",91.7,663.251231527094
"X844",91.8,630.394088669951
"X845",91.9,598.862068965517
"X846",92,604.15763546798
"X847",92.1,543.56157635468
"X848",92.2,474.463054187192
"X849",92.3,378.009852216749
"X850",92.4,278.349753694581
"X851",92.5,345.182266009852
"X852",92.6,372.522167487685
"X853",92.7,371.630541871921
"X854",92.8,269.369458128079
"X855",92.9,360.79802955665
"X856",93,318.467980295567
"X857",93.1,269.216748768473
"X858",93.2,281.029556650246
"X859",93.3,261.773399014778
"X860",93.4,266.167487684729
"X861",93.5,272.935960591133
"X862",93.6,285.940886699507
"X863",93.7,294.536945812808
"X864",93.8,293.591133004926
"X865",93.9,276.147783251232
"X866",94,264.064039408867
"X867",94.1,298.546798029557
"X868",94.2,279.931034482759
"X869",94.3,266.068965517241
"X870",94.4,285.344827586207
"X871",94.5,290.576354679803
"X872",94.6,296.862068965517
"X873",94.7,307.487684729064
"X874",94.8,305.28078817734
"X875",94.9,306.118226600985
"X876",95,278.315270935961
"X877",95.1,268.56157635468
"X878",95.2,265.733990147783
"X879",95.3,298.443349753695
"X880",95.4,283.541871921182
"X881",95.5,283.467980295567
"X882",95.6,309.059113300493
"X883",95.7,320.162561576355
"X884",95.8,312.507389162562
"X885",95.9,325.019704433498
"X886",96,318.522167487685
"X887",96.1,333.758620689655
"X888",96.2,305.881773399015
"X889",96.3,361.433497536946
"X890",96.4,352.093596059113
"X891",96.5,330.5960591133
"X892",96.6,336.433497536946
"X893",96.7,337.733990147783
"X894",96.8,449.206896551724
"X895",96.9,442.615763546798
"X896",97,404.871921182266
"X897",97.1,374.014778325123
"X898",97.2,356.35960591133
"X899",97.3,328.605911330049
"X900",97.4,337.339901477832
"X901",97.5,337.985221674877
"X902",97.6,326.679802955665
"X903",97.7,332.28078817734
"X904",97.8,349.802955665025
"X905",97.9,378.650246305419
"X906",98,398.044334975369
"X907",98.1,420.980295566502
"X908",98.2,422.591133004926
"X909",98.3,468.576354679803
"X910",98.4,464.384236453202
"X911",98.5,447.665024630542
"X912",98.6,463.295566502463
"X913",98.7,417.709359605911
"X914",98.8,350.862068965517
"X915",98.9,348.857142857143
"X916",99,359.990147783251
"X917",99.1,376.039408866995
"X918",99.2,383.059113300493
"X919",99.3,392.591133004926
"X920",99.4,383.807881773399
"X921",99.5,399.71921182266
"X922",99.6,408.837438423645
"X923",99.7,374.788177339901
"X924",99.8,403.103448275862
"X925",99.9,460.418719211823
"X926",100,431.684729064039
"X927",100.1,412.182266009852
"X928",100.2,396.679802955665
"X929",100.3,391.724137931034
"X930",100.4,396.615763546798
"X931",100.5,381.177339901478
"X932",100.6,376.546798029557
