"","depth_mm","Fe"
"257",24.32,66.0386740331492
"258",24.415,66.4530386740332
"259",24.51,66.6243093922652
"260",24.605,68.3867403314917
"261",24.7,66.8397790055249
"262",24.795,73.7790055248619
"263",24.89,74.475138121547
"264",24.985,74.9171270718232
"265",25.08,76.3480662983425
"266",25.175,75.2486187845304
"267",25.27,73.1988950276243
"268",25.365,73.7790055248619
"269",25.46,72.4088397790055
"270",25.555,75.7624309392265
"271",25.65,74.2209944751381
"272",25.745,77.232044198895
"273",25.84,79.121546961326
"274",25.935,80.7016574585635
"275",26.03,80.2486187845304
"276",26.125,80.6187845303867
"277",26.22,80.1767955801105
"278",26.315,83.9723756906077
"279",26.41,87.646408839779
"280",26.505,85.5469613259668
"281",26.6,84.646408839779
"282",26.695,84.3204419889503
"283",26.79,85.3314917127072
"284",26.885,87.4696132596685
"285",26.98,89.2209944751381
"286",27.075,91.4806629834254
"287",27.17,91.8176795580111
"288",27.265,87.8839779005525
"289",27.36,91.7734806629834
"290",27.455,91.3646408839779
"291",27.55,92.0994475138122
"292",27.645,93.4419889502762
"293",27.74,97.353591160221
"294",27.835,97.6850828729282
"295",27.93,97.939226519337
"296",28.025,97.7513812154696
"297",28.12,94.6795580110497
"298",28.215,98.0773480662983
"299",28.31,101.933701657459
"300",28.405,100.618784530387
"301",28.5,102.839779005525
"302",28.595,104.972375690608
"303",28.69,101.657458563536
"304",28.785,99.2430939226519
"305",28.88,99.1381215469613
"306",28.975,98.767955801105
"307",29.07,100.635359116022
"308",29.165,104.718232044199
"309",29.26,109.563535911602
"310",29.355,103.436464088398
"311",29.45,106.674033149171
"312",29.545,109.82320441989
"313",29.64,105.723756906077
"314",29.735,111.458563535912
"315",29.83,107.922651933702
"316",29.925,106.67955801105
"317",30.02,109.745856353591
"318",30.115,111.149171270718
"319",30.21,109.220994475138
"320",30.305,111.132596685083
"321",30.4,108.790055248619
"322",30.495,109.475138121547
"323",30.59,112.729281767956
"324",30.685,115.591160220994
"325",30.78,118.872928176796
"326",30.875,117.198895027624
"327",30.97,119.441988950276
"328",31.065,116.082872928177
"329",31.16,113.193370165746
"330",31.255,111.104972375691
"331",31.35,116.14364640884
"332",31.445,114.906077348066
"333",31.54,111.104972375691
"334",31.635,110.359116022099
"335",31.73,113.845303867403
"336",31.825,110.723756906077
"337",31.92,112.116022099448
"338",32.015,113.524861878453
"339",32.11,112.182320441989
"340",32.205,110.353591160221
"341",32.3,115.900552486188
"342",32.395,115.933701657459
"343",32.49,116.668508287293
"344",32.585,115.259668508287
"345",32.68,114.07182320442
"346",32.775,113.132596685083
"347",32.87,114.734806629834
"348",32.965,123.674033149171
"349",33.06,123.767955801105
"350",33.155,122.149171270718
"351",33.25,122.795580110497
"352",33.345,125.209944751381
"353",33.44,123.259668508287
"354",33.535,123.519337016575
"355",33.63,122.723756906077
"356",33.725,125.204419889503
"357",33.82,125.944751381215
"358",33.915,124.458563535912
"359",34.01,129
"360",34.105,130.07182320442
"361",34.2,127.138121546961
"362",34.295,128.966850828729
"363",34.39,131.602209944751
"364",34.485,136.972375690608
"365",34.58,135.71270718232
"366",34.675,135.480662983425
"367",34.77,138.491712707182
"368",34.865,141.337016574586
"369",34.96,139.966850828729
"370",35.055,142.690607734807
"371",35.15,142.950276243094
"372",35.245,147.331491712707
"373",35.34,148.480662983425
"374",35.435,151.298342541436
"375",35.53,149.171270718232
"376",35.625,147.165745856354
"377",35.72,150.309392265193
"378",35.815,150.277777777778
"379",35.91,147.701657458564
"380",36.005,151.149171270718
"381",36.1,149.569060773481
"382",36.195,155.270718232044
"383",36.29,160.022099447514
"384",36.385,158.46408839779
"385",36.48,155.944751381215
"386",36.575,156.674033149171
"387",36.67,154.707182320442
"388",36.765,156.005524861878
"389",36.86,161.497237569061
"390",36.955,162.966850828729
"391",37.05,162.519337016575
"392",37.145,160.022099447514
"393",37.24,162.254143646409
"394",37.335,163.254143646409
"395",37.43,167.337016574586
"396",37.525,175.375690607735
"397",37.62,166.823204419889
"398",37.715,170.149171270718
"399",37.81,172.718232044199
"400",37.905,174.011049723757
"401",38,172.055248618785
"402",38.095,172.016574585635
"403",38.19,176.773480662983
"404",38.285,175.165745856354
"405",38.38,178.662983425414
"406",38.475,174.961325966851
"407",38.57,175.580110497238
"408",38.665,176.453038674033
"409",38.76,180.85635359116
"410",38.855,181.480662983425
"411",38.95,185.348066298343
"412",39.045,187.961325966851
"413",39.14,191.220994475138
"414",39.235,186.906077348066
"415",39.33,187.939226519337
"416",39.425,192.187845303867
"417",39.52,197.491712707182
"418",39.615,198.961325966851
"419",39.71,206.994475138122
"420",39.805,203.397790055249
"421",39.9,197.226519337017
"422",39.995,198.71270718232
"423",40.09,194.817679558011
"424",40.185,200.110497237569
