"","depth_mm","K"
"111",10.45,12.6629834254144
"112",10.545,12.9944751381215
"113",10.64,13.8839779005525
"114",10.735,13.4640883977901
"115",10.83,13.4585635359116
"116",10.925,13.2099447513812
"117",11.02,13.353591160221
"118",11.115,13.2154696132597
"119",11.21,13.7734806629834
"120",11.305,13.4585635359116
"121",11.4,13.5635359116022
"122",11.495,13.0662983425414
"123",11.59,13.3480662983425
"124",11.685,12.9226519337017
"125",11.78,12.4530386740331
"126",11.875,13.3591160220994
"127",11.97,13.0497237569061
"128",12.065,13.7458563535912
"129",12.16,13.2375690607735
"130",12.255,13.5580110497238
"131",12.35,13.3922651933702
"132",12.445,13.2209944751381
"133",12.54,13.4364640883978
"134",12.635,13.8232044198895
"135",12.73,14.1546961325967
"136",12.825,14.2099447513812
"137",12.92,13.878453038674
"138",13.015,13.6077348066298
"139",13.11,13.3867403314917
"140",13.205,13.3093922651934
"141",13.3,13.1546961325967
"142",13.395,13.1933701657459
"143",13.49,13.6077348066298
"144",13.585,12.8453038674033
"145",13.68,12.9116022099448
"146",13.775,12.7403314917127
"147",13.87,13.1767955801105
"148",13.965,12.3977900552486
"149",14.06,13.5801104972376
"150",14.155,12.7900552486188
"151",14.25,13.3756906077348
"152",14.345,13.3480662983425
"153",14.44,13.2762430939227
"154",14.535,13.4364640883978
"155",14.63,12.6408839779006
"156",14.725,13.0883977900552
"157",14.82,13.5414364640884
"158",14.915,13.3314917127072
"159",15.01,13.1767955801105
"160",15.105,12.8839779005525
"161",15.2,12.2762430939227
"162",15.295,12.0939226519337
"163",15.39,11.7127071823204
"164",15.485,11.182320441989
"165",15.58,10.9226519337017
"166",15.675,11.353591160221
"167",15.77,11.0497237569061
"168",15.865,10.9060773480663
"169",15.96,10.475138121547
"170",16.055,10.5745856353591
"171",16.15,9.79558011049724
"172",16.245,9.67955801104972
"173",16.34,9.32596685082873
"174",16.435,9.41111111111111
"175",16.53,9.40883977900553
"176",16.625,9.26404494382022
"177",16.72,9.07262569832402
"178",16.815,8.97237569060773
"179",16.91,8.61111111111111
"180",17.005,8.41436464088398
"181",17.1,8.27932960893855
"182",17.195,8.61325966850829
"183",17.29,7.77900552486188
"184",17.385,7.93888888888889
"185",17.48,7.61666666666667
"186",17.575,7.87292817679558
"187",17.67,7.67403314917127
"188",17.765,7.42222222222222
"189",17.86,7.1
"190",17.955,6.81666666666667
"191",18.05,6.98895027624309
"192",18.145,6.71666666666667
"193",18.24,6.46666666666667
"194",18.335,6.02209944751381
"195",18.43,6.02222222222222
"196",18.525,6
"197",18.62,6.14444444444444
"198",18.715,6.20994475138122
"199",18.81,5.93333333333333
"200",18.905,5.68508287292818
"201",19,6.02793296089385
"202",19.095,5.69491525423729
"203",19.19,6.02762430939227
"204",19.285,5.95580110497238
"205",19.38,5.70165745856354
"206",19.475,5.76795580110497
"207",19.57,6.07182320441989
"208",19.665,6.13259668508287
"209",19.76,5.87292817679558
"210",19.855,6.31111111111111
"211",19.95,6.01666666666667
"212",20.045,5.87222222222222
"213",20.14,6.20555555555556
"214",20.235,6.05555555555556
"215",20.33,6.36666666666667
"216",20.425,5.83333333333333
"217",20.52,6.03888888888889
"218",20.615,6.25
"219",20.71,5.96648044692737
"220",20.805,6.1
"221",20.9,6.29444444444444
"222",20.995,6.42541436464088
"223",21.09,6.20441988950276
"224",21.185,6.44198895027624
"225",21.28,6.67955801104972
"226",21.375,6.45
"227",21.47,6.38674033149171
"228",21.565,6.30386740331492
"229",21.66,6.77348066298343
"230",21.755,6.93333333333333
"231",21.85,7.37016574585635
"232",21.945,7.58011049723757
"233",22.04,7.88397790055249
"234",22.135,7.06077348066298
"235",22.23,7.59116022099448
"236",22.325,7.64444444444444
"237",22.42,6.95555555555556
"238",22.515,6.95580110497238
"239",22.61,7.17222222222222
"240",22.705,7.26111111111111
"241",22.8,6.99447513812155
"242",22.895,7.52222222222222
"243",22.99,7.58563535911602
"244",23.085,7.28333333333333
"245",23.18,7.62983425414365
"246",23.275,7.93333333333333
"247",23.37,7.92817679558011
"248",23.465,7.64088397790055
"249",23.56,7.96666666666667
"250",23.655,8.10555555555556
"251",23.75,7.93888888888889
"252",23.845,8.07734806629834
"253",23.94,8.59668508287293
"254",24.035,8.41436464088398
"255",24.13,8.20441988950276
"256",24.225,8.12777777777778
"257",24.32,8.13812154696133
"258",24.415,8.02209944751381
"259",24.51,8
"260",24.605,8.23204419889503
"261",24.7,8.13812154696133
"262",24.795,8.30386740331492
"263",24.89,9.33149171270718
"264",24.985,9.19889502762431
"265",25.08,9.00552486187845
"266",25.175,9.02209944751381
"267",25.27,9.06629834254144
"268",25.365,8.98895027624309
"269",25.46,8.21111111111111
"270",25.555,8.97790055248619
"271",25.65,9.03867403314917
"272",25.745,9.24444444444444
"273",25.84,8.76111111111111
"274",25.935,9.10497237569061
"275",26.03,9.42541436464088
"276",26.125,9.43646408839779
"277",26.22,9.15469613259669
"278",26.315,9.39779005524862
"279",26.41,9.52486187845304
"280",26.505,9.24309392265193
"281",26.6,10.0110497237569
"282",26.695,9.79005524861878
"283",26.79,9.89502762430939
"284",26.885,9.86187845303867
"285",26.98,10.0441988950276
"286",27.075,10.4198895027624
"287",27.17,9.353591160221
"288",27.265,9.95580110497237
"289",27.36,9.90055248618784
"290",27.455,9.97790055248619
"291",27.55,9.77348066298343
"292",27.645,9.70718232044199
"293",27.74,10.171270718232
"294",27.835,9.96685082872928
"295",27.93,9.95027624309392
"296",28.025,10.1546961325967
"297",28.12,10.1381215469613
"298",28.215,10.414364640884
"299",28.31,10.060773480663
"300",28.405,10.707182320442
"301",28.5,10.6022099447514
"302",28.595,10.9613259668508
"303",28.69,10.4917127071823
"304",28.785,9.79005524861878
"305",28.88,10.1491712707182
