"DEPTH_WMSF","HCGR"
97.3836,0.864
97.536,0.8683
97.6884,0.6319
97.8408,0.4066
97.9932,0.6303
98.1456,0.6364
98.298,0.4092
98.4504,0.2341
98.6028,0.1457
98.7552,0.1642
98.9076,0.007
99.06,-0.121
99.2124,-0.0644
99.3648,-0.1301
99.5172,-0.3665
99.6696,-0.6179
99.822,-0.7337
99.9744,-0.5114
100.1268,-0.6304
100.2792,-0.5165
100.4316,-0.226
100.584,0.0329
100.7364,-0.0834
100.8888,0.0224
101.0412,0.1093
101.1936,0.0459
101.346,-0.2632
101.4984,-0.3063
101.6508,-0.2004
101.8032,-0.1249
101.9556,-0.2427
102.108,-0.3048
102.2604,-0.5924
102.4128,-0.5109
102.5652,-0.6303
102.7176,-0.3552
102.87,0.021
103.0224,0.1128
103.1748,-0.1361
103.3272,-0.3846
103.4796,-0.1033
103.632,0.0346
103.7844,0.0616
103.9368,0.1596
104.0892,0.1814
104.2416,0.2395
104.394,0.1884
104.5464,0.0955
104.6988,0.2056
104.8512,0.359
105.0036,0.3487
105.156,0.2315
105.3084,0.5524
105.4608,0.3948
105.6132,0.2862
105.7656,0.3674
105.918,0.8514
106.0704,1.0156
106.2228,2.1369
106.3752,2.3944
106.5276,2.1966
106.68,2.1184
106.8324,2.1014
106.9848,1.8614
107.1372,2.0654
107.2896,2.1389
107.442,2.1199
107.5944,1.7037
107.7468,1.3435
107.8992,0.3109
108.0516,-0.1184
108.204,0.1432
108.3564,0.0689
108.5088,-0.1429
108.6612,0.1834
108.8136,0.4764
108.966,0.8423
109.1184,0.894
109.2708,0.7876
109.4232,1.0206
109.5756,1.2036
109.728,1.453
109.8804,1.2009
110.0328,1.0538
110.1852,1.0579
110.3376,0.4221
110.49,0.0639
110.6424,-0.0732
110.7948,0.2544
110.9472,0.6427
111.0996,1.2413
111.252,1.4216
111.4044,1.4691
111.5568,1.6068
111.7092,1.8252
111.8616,1.9876
112.014,2.2245
112.1664,1.8775
112.3188,1.5312
112.4712,1.5658
112.6236,1.2188
112.776,0.841
112.9284,0.8428
113.0808,0.9453
113.2332,1.2814
113.3856,1.7066
113.538,1.9116
113.6904,1.8773
113.8428,1.773
113.9952,1.946
114.1476,1.4545
114.3,1.2797
114.4524,1.319
114.6048,1.3844
114.7572,1.2349
114.9096,0.8372
115.062,0.1973
115.2144,0.1035
115.3668,0.2587
115.5192,0.6367
115.6716,0.6319
115.824,0.4421
115.9764,0.7108
116.1288,0.6177
116.2812,0.9338
116.4336,1.134
116.586,1.0438
116.7384,1.3121
116.8908,1.0709
117.0432,0.9089
117.1956,0.6947
117.348,0.3883
117.5004,0.59
117.6528,0.4308
117.8052,0.5146
117.9576,0.222
118.11,-0.1694
118.2624,0.1071
118.4148,0.1245
118.5672,-0.1916
118.7196,0.2115
118.872,0.5294
119.0244,1.2246
119.1768,1.6247
119.3292,1.6631
119.4816,2.0453
119.634,2.3839
119.7864,2.8389
119.9388,3.4001
120.0912,3.5276
120.2436,3.8465
120.396,3.7667
120.5484,3.4602
120.7008,2.8208
120.8532,2.5755
121.0056,3.3342
121.158,2.8614
121.3104,2.1787
121.4628,1.6917
121.6152,1.421
121.7676,1.876
121.92,2.0076
122.0724,1.3434
122.2248,1.1521
122.3772,1.6198
122.5296,1.9975
122.682,1.8586
122.8344,2.4449
122.9868,3.2759
123.1392,4.4097
123.2916,4.2971
123.444,3.527
123.5964,3.2899
123.7488,3.4298
123.9012,3.3126
124.0536,2.9162
124.206,2.4832
124.3584,1.8016
124.5108,1.5946
124.6632,1.228
124.8156,1.0057
124.968,0.9374
125.1204,0.9055
125.2728,0.6677
125.4252,0.9796
125.5776,1.3059
125.73,1.477
125.8824,1.2868
126.0348,1.3059
126.1872,1.2165
126.3396,1.3993
126.492,1.7407
126.6444,2.2014
126.7968,3.2048
126.9492,3.7819
127.1016,3.8932
127.254,4.5691
127.4064,5.6785
127.5588,6.5056
127.7112,6.6267
127.8636,6.7714
128.016,6.7322
128.1684,5.5583
128.3208,4.9584
128.4732,4.8328
128.6256,4.8258
128.778,4.4588
128.9304,3.4796
129.0828,2.1846
129.2352,1.8272
129.3876,2.1863
129.54,2.4586
129.6924,2.3618
129.8448,2.466
129.9972,2.5014
130.1496,1.709
130.302,1.2907
130.4544,1.3928
130.6068,1.3886
130.7592,1.1019
130.9116,0.9505
131.064,1.0795
131.2164,0.4533
131.3688,0.1398
131.5212,-0.1256
131.6736,-0.001
131.826,0.4644
131.9784,0.4785
132.1308,0.2189
132.2832,0.4076
132.4356,0.2127
132.588,-0.1934
132.7404,-0.7154
132.8928,-0.4858
133.0452,-0.085
133.1976,0.3204
133.35,0.5059
133.5024,0.6776
133.6548,0.9145
133.8072,1.0493
133.9596,1.4844
134.112,1.8792
134.2644,2.2297
134.4168,2.1303
134.5692,2.3288
134.7216,2.3987
134.874,2.5511
135.0264,3.3052
135.1788,3.3674
135.3312,3.6385
135.4836,3.5679
135.636,2.8405
135.7884,2.6847
135.9408,1.9053
136.0932,1.6938
136.2456,1.3314
136.398,1.3044
136.5504,1.4317
136.7028,0.7861
136.8552,0.6826
137.0076,0.7093
137.16,0.5213
137.3124,1.0181
137.4648,1.1686
137.6172,1.3666
137.7696,1.4844
137.922,1.3412
138.0744,0.7415
138.2268,0.0554
138.3792,-0.0771
138.5316,0.7076
138.684,1.0091
138.8364,0.8228
138.9888,0.1375
139.1412,-0.2858
139.2936,-0.1646
139.446,-0.2843
139.5984,0.1388
139.7508,0.6075
139.9032,1.3109
140.0556,1.064
140.208,0.2444
140.3604,0.067
140.5128,1.0163
140.6652,1.3594
140.8176,1.9683
140.97,2.6106
141.1224,2.9134
141.2748,3.0129
141.4272,2.8961
141.5796,2.952
141.732,3.8947
141.8844,3.61
142.0368,3.3767
142.1892,3.0264
142.3416,2.9687
142.494,2.1029
142.6464,1.4566
142.7988,1.5094
142.9512,1.0833
143.1036,1.0459
143.256,0.5499
143.4084,0.305
143.5608,1.3332
143.7132,1.5534
143.8656,1.1394
144.018,1.2477
144.1704,1.836
144.3228,2.0903
144.4752,1.9161
144.6276,2.0196
144.78,1.7174
144.9324,1.653
145.0848,1.3559
145.2372,0.4742
145.3896,0.5539
145.542,1.0134
145.6944,0.8573
145.8468,1.2429
145.9992,2.0627
146.1516,2.5727
146.304,2.2629
146.4564,1.9023
146.6088,2.6175
146.7612,3.2927
146.9136,3.4522
147.066,3.3024
147.2184,2.6719
147.3708,3.008
147.5232,2.5541
147.6756,1.7697
147.828,1.5558
147.9804,1.8309
148.1328,2.6562
148.2852,2.3531
148.4376,1.3346
148.59,1.0138
148.7424,1.5312
148.8948,1.5652
149.0472,1.1595
149.1996,0.9383
149.352,1.319
149.5044,0.8039
149.6568,0.1569
149.8092,0.2013
149.9616,0.2675
150.114,1.1926
150.2664,1.7254
150.4188,1.4167
150.5712,1.4885
150.7236,1.6594
150.876,2.3414
151.0284,2.4658
151.1808,2.8598
151.3332,2.7785
151.4856,2.4354
151.638,2.3499
151.7904,2.1276
151.9428,1.9124
152.0952,2.1508
152.2476,2.3024
152.4,2.3698
152.5524,2.5952
152.7048,2.286
152.8572,2.1516
153.0096,2.0081
153.162,1.9008
153.3144,1.1346
153.4668,1.3424
153.6192,2.2085
153.7716,2.7883
153.924,3.5015
154.0764,4.0904
