"","depth_mm","Si"
"X472",47.1,2.48717948717949
"X473",47.2,2.41276595744681
"X474",47.3,2.36440677966102
"X475",47.4,2.33333333333333
"X476",47.5,2.33039647577093
"X477",47.6,2.36283185840708
"X478",47.7,2.33189655172414
"X479",47.8,2.44206008583691
"X480",47.9,2.38938053097345
"X481",48,2.21757322175732
"X482",48.1,2.46320346320346
"X483",48.2,2.41025641025641
"X484",48.3,2.53508771929825
"X485",48.4,2.56666666666667
"X486",48.5,2.32083333333333
"X487",48.6,2.4
"X488",48.7,2.28879310344828
"X489",48.8,2.50204081632653
"X490",48.9,2.51502145922747
"X491",49,2.34033613445378
"X492",49.1,2.43829787234043
"X493",49.2,2.51914893617021
"X494",49.3,2.30735930735931
"X495",49.4,2.65811965811966
"X496",49.5,2.43697478991597
"X497",49.6,2.54732510288066
"X498",49.7,2.50847457627119
"X499",49.8,2.45679012345679
"X500",49.9,2.61087866108787
"X501",50,2.55364806866953
"X502",50.1,2.46443514644351
"X503",50.2,2.39004149377593
"X504",50.3,2.28947368421053
"X505",50.4,2.4780701754386
"X506",50.5,2.39484978540773
"X507",50.6,2.45
"X508",50.7,2.35775862068966
"X509",50.8,2.38034188034188
"X510",50.9,2.54700854700855
"X511",51,2.30941704035874
"X512",51.1,2.34246575342466
"X513",51.2,2.28510638297872
"X514",51.3,2.40869565217391
"X515",51.4,2.48497854077253
"X516",51.5,2.27631578947368
"X517",51.6,2.25641025641026
"X518",51.7,2.32173913043478
"X519",51.8,2.21610169491525
"X520",51.9,2.33189655172414
"X521",52,2.38197424892704
"X522",52.1,2.32300884955752
"X523",52.2,2.19282511210762
"X524",52.3,2.42173913043478
"X525",52.4,2.32456140350877
"X526",52.5,2.41596638655462
"X527",52.6,2.21551724137931
"X528",52.7,2.23809523809524
"X529",52.8,2.22077922077922
"X530",52.9,2.30379746835443
"X531",53,2.28318584070796
"X532",53.1,2.19491525423729
"X533",53.2,2.30769230769231
"X534",53.3,2.29004329004329
"X535",53.4,2.16666666666667
"X536",53.5,2.18181818181818
"X537",53.6,2.24229074889868
"X538",53.7,2.29694323144105
"X539",53.8,2.27510917030568
"X540",53.9,2.19369369369369
"X541",54,2.18534482758621
"X542",54.1,2.25541125541126
"X543",54.2,2.24
"X544",54.3,2.23318385650224
"X545",54.4,2.14285714285714
"X546",54.5,2.30530973451327
"X547",54.6,2.25974025974026
"X548",54.7,2.34051724137931
"X549",54.8,2.2863436123348
"X550",54.9,2.19111111111111
"X551",55,2.25751072961373
"X552",55.1,2.34051724137931
"X553",55.2,2.30493273542601
"X554",55.3,2.16666666666667
"X555",55.4,2.1991341991342
"X556",55.5,2.25345622119816
"X557",55.6,2.39662447257384
"X558",55.7,2.20704845814978
"X559",55.8,2.22608695652174
"X560",55.9,2.28508771929825
"X561",56,2.36637931034483
"X562",56.1,2.38888888888889
"X563",56.2,2.17982456140351
"X564",56.3,2.20909090909091
"X565",56.4,2.26637554585153
"X566",56.5,2.48770491803279
"X567",56.6,2.39484978540773
"X568",56.7,2.27391304347826
"X569",56.8,2.4051724137931
"X570",56.9,2.42857142857143
"X571",57,2.22707423580786
"X572",57.1,2.27004219409283
"X573",57.2,2.3875
"X574",57.3,2.50423728813559
"X575",57.4,2.42796610169492
"X576",57.5,2.2695652173913
"X577",57.6,2.28205128205128
"X578",57.7,2.31168831168831
"X579",57.8,2.23008849557522
"X580",57.9,2.09090909090909
"X581",58,2.11206896551724
"X582",58.1,2.17488789237668
"X583",58.2,2.23404255319149
"X584",58.3,2.14601769911504
"X585",58.4,2.2618025751073
"X586",58.5,2.29074889867841
"X587",58.6,2.23318385650224
"X588",58.7,2.23478260869565
"X589",58.8,2.21794871794872
"X590",58.9,2.18614718614719
"X591",59,2.37991266375546
"X592",59.1,2.13716814159292
"X593",59.2,2.16814159292035
"X594",59.3,2.25675675675676
"X595",59.4,2.33484162895928
"X596",59.5,2.29661016949153
"X597",59.6,2.20087336244541
"X598",59.7,2.26050420168067
"X599",59.8,2.26637554585153
"X600",59.9,2.13793103448276
"X601",60,2.23706896551724
"X602",60.1,2.33628318584071
"X603",60.2,2.43497757847534
"X604",60.3,2.10132158590308
"X605",60.4,2.11453744493392
"X606",60.5,2.1703056768559
"X607",60.6,2.19047619047619
"X608",60.7,2.23275862068966
"X609",60.8,2.23580786026201
"X610",60.9,2.30962343096234
"X611",61,2.17826086956522
"X612",61.1,2.19469026548673
"X613",61.2,2.16818181818182
"X614",61.3,2.17777777777778
"X615",61.4,2.31896551724138
"X616",61.5,2.39316239316239
"X617",61.6,2.17826086956522
"X618",61.7,2.18421052631579
"X619",61.8,2.13004484304933
"X620",61.9,2.03478260869565
"X621",62,2.20175438596491
"X622",62.1,2.13793103448276
"X623",62.2,2.15277777777778
"X624",62.3,2.3141592920354
"X625",62.4,2.18181818181818
"X626",62.5,2.18859649122807
"X627",62.6,2.10416666666667
"X628",62.7,2.29130434782609
"X629",62.8,2.40540540540541
"X630",62.9,2.33333333333333
"X631",63,2.13215859030837
"X632",63.1,2.21428571428571
"X633",63.2,2.14957264957265
"X634",63.3,2.13419913419913
"X635",63.4,2.14468085106383
"X636",63.5,2.38967136150235
"X637",63.6,2.0627802690583
"X638",63.7,2.28508771929825
"X639",63.8,2.31914893617021
"X640",63.9,2.26666666666667
"X641",64,2.24242424242424
"X642",64.1,2.06194690265487
"X643",64.2,2.22972972972973
"X644",64.3,2.25333333333333
"X645",64.4,2.19457013574661
"X646",64.5,2.30042918454936
"X647",64.6,2.31759656652361
"X648",64.7,2.03305785123967
"X649",64.8,2.27350427350427
"X650",64.9,2.35775862068966
"X651",65,2.48497854077253
"X652",65.1,2.18103448275862
"X653",65.2,2.14529914529915
"X654",65.3,2.29113924050633
"X655",65.4,2.43347639484979
"X656",65.5,2.34545454545455
"X657",65.6,2.28947368421053
"X658",65.7,2.41350210970464
"X659",65.8,2.21145374449339
"X660",65.9,2.30869565217391
"X661",66,2.59051724137931
"X662",66.1,2.37606837606838
"X663",66.2,2.52742616033755
"X664",66.3,2.33870967741935
"X665",66.4,2.44871794871795
"X666",66.5,2.3781512605042
"X667",66.6,2.51769911504425
"X668",66.7,2.45569620253165
"X669",66.8,2.42857142857143
"X670",66.9,2.40677966101695
"X671",67,2.28151260504202
"X672",67.1,2.60683760683761
"X673",67.2,2.41666666666667
"X674",67.3,2.37130801687764
"X675",67.4,2.24380165289256
"X676",67.5,2.37053571428571
"X677",67.6,2.42127659574468
"X678",67.7,2.29184549356223
"X679",67.8,2.18723404255319
"X680",67.9,2.37446808510638
"X681",68,2.44081632653061
"X682",68.1,2.28205128205128
"X683",68.2,2.35344827586207
"X684",68.3,2.29032258064516
"X685",68.4,2.37068965517241
"X686",68.5,2.23728813559322
