"Measured Depth","Gamma-Ray log"
220.5228,14.15445
220.6752,12.64205
220.8276,12.03458
220.98,12.09132
221.1324,11.84637
221.2848,12.18614
221.4372,12.53012
221.5896,11.90086
221.742,11.13085
221.8944,10.40966
222.0468,9.709572
222.1992,9.678726
222.3516,10.53399
222.504,10.71862
222.6564,11.75034
222.8088,12.91067
222.9612,13.41968
223.1136,13.11397
223.266,13.09447
223.4184,11.4916
223.5708,11.23984
223.7232,12.22879
223.8756,12.41941
224.028,11.54259
224.1804,10.96241
224.3328,11.27624
224.4852,10.80437
224.6376,11.0922
224.79,11.75596
224.9424,11.97717
225.0948,11.46676
225.2472,9.055389
225.3996,8.558762
225.552,9.313873
225.7044,11.17574
225.8568,11.68875
226.0092,11.59542
226.1616,12.52883
226.314,14.00139
226.4664,14.07448
226.6188,13.01406
226.7712,13.03936
226.9236,13.04475
227.076,12.46382
227.2284,11.4248
227.3808,11.28265
227.5332,11.56007
227.6856,11.85863
227.838,13.4025
227.9904,14.10091
228.1428,11.94058
228.2952,12.28975
228.4476,12.08913
228.6,11.44676
228.7524,9.969704
228.9048,9.669037
229.0572,10.4262
229.2096,11.10195
229.362,11.40874
229.5144,11.45515
229.6668,11.94016
229.8192,12.65439
229.9716,13.15399
230.124,13.29609
230.2764,13.43375
230.4288,13.04618
230.5812,13.41924
230.7336,13.43877
230.886,12.78197
231.0384,13.48208
231.1908,13.61432
231.3432,13.12069
231.4956,12.72884
231.648,12.43404
231.8004,12.37403
231.9528,12.45591
232.1052,11.913
232.2576,10.73969
232.41,10.53959
232.5624,10.99203
232.7148,11.3228
232.8672,10.93605
233.0196,10.5809
233.172,11.23009
233.3244,12.83121
233.4768,14.52473
233.6292,16.28798
233.7816,18.10687
233.934,20.58206
234.0864,18.82974
234.2388,16.98233
234.3912,15.12315
234.5436,14.14397
234.696,13.58242
234.8484,12.44778
235.0008,11.18743
235.1532,10.26112
235.3056,10.18092
235.458,10.57205
235.6104,11.02142
235.7628,11.83183
235.9152,11.36949
236.0676,10.29382
236.22,9.215408
