"","depth_mm","K"
"X297",37.1,101.528301886792
"X298",37.2,96.7457627118644
"X299",37.3,99.2148760330578
"X300",37.4,97.7874015748032
"X301",37.5,97.7238805970149
"X302",37.6,94.5244755244755
"X303",37.7,99.1184210526316
"X304",37.8,101.698717948718
"X305",37.9,106.611464968153
"X306",38,106.458598726115
"X307",38.1,106.331210191083
"X308",38.2,105.171974522293
"X309",38.3,107.191082802548
"X310",38.4,112.808917197452
"X311",38.5,107.31847133758
"X312",38.6,108.987261146497
"X313",38.7,108.242038216561
"X314",38.8,104.700636942675
"X315",38.9,105.859872611465
"X316",39,106.012738853503
"X317",39.1,105.496815286624
"X318",39.2,104.929936305732
"X319",39.3,100.554140127389
"X320",39.4,107.949044585987
"X321",39.5,104.866242038217
"X322",39.6,103.554140127389
"X323",39.7,102.770700636943
"X324",39.8,104.87898089172
"X325",39.9,103.152866242038
"X326",40,105
"X327",40.1,109.152866242038
"X328",40.2,106.993630573248
"X329",40.3,109.783439490446
"X330",40.4,107.974522292994
"X331",40.5,109.03821656051
"X332",40.6,111.388535031847
"X333",40.7,112.375796178344
"X334",40.8,107.821656050955
"X335",40.9,111.203821656051
"X336",41,108.165605095541
"X337",41.1,113.095541401274
"X338",41.2,110.286624203822
"X339",41.3,109.993630573248
"X340",41.4,106.949044585987
"X341",41.5,110.388535031847
"X342",41.6,110.592356687898
"X343",41.7,113.554140127389
"X344",41.8,109.656050955414
"X345",41.9,112.980891719745
"X346",42,112.866242038217
"X347",42.1,109.677419354839
"X348",42.2,110.284768211921
"X349",42.3,112.261744966443
"X350",42.4,98.7666666666667
"X351",42.5,98.4733333333333
"X352",42.6,100.163265306122
"X353",42.7,101.285714285714
"X354",42.8,100.820143884892
"X355",42.9,100.411764705882
"X356",43,98.9090909090909
"X357",43.1,93.031007751938
"X358",43.2,91.609022556391
"X359",43.3,92.8923076923077
"X360",43.4,90.8473282442748
"X361",43.5,89.8125
"X362",43.6,90.437037037037
"X363",43.7,95.4296296296296
"X364",43.8,98.2556390977444
"X365",43.9,99.9541984732824
"X366",44,98.2290076335878
"X367",44.1,105.669291338583
"X368",44.2,103.110236220472
"X369",44.3,99.1739130434783
"X370",44.4,99.3925925925926
"X371",44.5,108.795454545455
"X372",44.6,101.762589928058
"X373",44.7,102.664179104478
"X374",44.8,97.6307692307692
"X375",44.9,89.8529411764706
"X376",45,95.5075757575758
"X377",45.1,96.6060606060606
"X378",45.2,94.1317829457364
"X379",45.3,91.7709923664122
"X380",45.4,92.832
"X381",45.5,91.0229007633588
"X382",45.6,92.0223880597015
"X383",45.7,95.5074626865672
"X384",45.8,94.280303030303
"X385",45.9,91.3384615384615
"X386",46,88.4047619047619
"X387",46.1,89.0252100840336
"X388",46.2,87.9918699186992
"X389",46.3,82.7456140350877
"X390",46.4,85.8879310344828
"X391",46.5,85.7008547008547
"X392",46.6,82.2649572649573
"X393",46.7,80.5514018691589
"X394",46.8,74.4905660377358
"X395",46.9,73.5
"X396",47,72.2808988764045
"X397",47.1,61.1590909090909
"X398",47.2,59.7777777777778
"X399",47.3,52.7701149425287
"X400",47.4,51.0760869565217
