"","depth_mm","Mn"
"X123",19.7,121.050955414013
"X124",19.8,120.216560509554
"X125",19.9,117.375796178344
"X126",20,115.738853503185
"X127",20.1,117.363057324841
"X128",20.2,115.955414012739
"X129",20.3,116.949044585987
"X130",20.4,118.445859872611
"X131",20.5,116.484076433121
"X132",20.6,101.178343949045
"X133",20.7,92.5541401273885
"X134",20.8,87.7324840764331
"X135",20.9,82.9235668789809
"X136",21,85.3248407643312
"X137",21.1,86.1847133757962
"X138",21.2,84.3757961783439
"X139",21.3,85.3503184713376
"X140",21.4,86.7070063694268
"X141",21.5,86.1146496815287
"X142",21.6,89.4585987261146
"X143",21.7,88.0891719745223
"X144",21.8,88.8726114649682
"X145",21.9,91.0636942675159
"X146",22,89.343949044586
"X147",22.1,89.2165605095541
"X148",22.2,90.796178343949
"X149",22.3,93.0955414012739
"X150",22.4,90.140127388535
"X151",22.5,93.0191082802548
"X152",22.6,92.4522292993631
"X153",22.7,92.0955414012739
"X154",22.8,93.8917197452229
"X155",22.9,91.4649681528662
"X156",23,92.7006369426752
"X157",23.1,91.1783439490446
"X158",23.2,93.5859872611465
"X159",23.3,93.5414012738854
"X160",23.4,91.9044585987261
"X161",23.5,96.687898089172
"X162",23.6,96.1082802547771
"X163",23.7,94.2866242038217
"X164",23.8,98.4649681528662
"X165",23.9,99.4012738853503
"X166",24,98.8152866242038
"X167",24.1,104.757961783439
"X168",24.2,107.127388535032
"X169",24.3,108.305732484076
"X170",24.4,106.242038216561
"X171",24.5,107.834394904459
"X172",24.6,110.484076433121
"X173",24.7,110.305732484076
"X174",24.8,111.783439490446
"X175",24.9,112.184713375796
"X176",25,115.624203821656
"X177",25.1,112.222929936306
"X178",25.2,115.063694267516
"X179",25.3,117.050955414013
"X180",25.4,118.337579617834
"X181",25.5,118.369426751592
"X182",25.6,117.31847133758
"X183",25.7,116.414012738854
"X184",25.8,117.184713375796
"X185",25.9,116.375796178344
"X186",26,117.452229299363
"X187",26.1,117.643312101911
"X188",26.2,110.343949044586
"X189",26.3,111.649681528662
"X190",26.4,108.885350318471
"X191",26.5,109.375796178344
"X192",26.6,110.299363057325
"X193",26.7,112.484076433121
"X194",26.8,112.331210191083
"X195",26.9,111.56050955414
"X196",27,111.458598726115
"X197",27.1,115.821656050955
"X198",27.2,116.707006369427
"X199",27.3,115.471337579618
"X200",27.4,111.71974522293
"X201",27.5,113.152866242038
"X202",27.6,112.872611464968
"X203",27.7,107.254777070064
"X204",27.8,109.178343949045
"X205",27.9,107.312101910828
