"Depth..m.","Gamma.Ray"
255.4224,9.2659
255.5748,8.8732
255.7272,9.0866
255.8796,9.5267
256.032,9.7781
256.1844,9.6497
256.3368,9.5143
256.4892,9.6224
256.6416,9.7702
256.794,9.65
256.9464,9.4163
257.0988,9.3849
257.2512,9.6705
257.4036,10.8226
257.556,11.9837
257.7084,12.1769
257.8608,12.1265
258.0132,11.5001
258.1656,10.9707
258.318,10.6698
258.4704,10.7437
258.6228,11.1694
258.7752,11.633
258.9276,11.1037
259.08,9.9492
259.2324,9.0982
259.3848,9.1947
259.5372,9.7287
259.6896,9.2717
259.842,8.6851
259.9944,9.4455
260.1468,10.8003
260.2992,12.4955
260.4516,13.3522
260.604,12.9754
260.7564,11.8121
260.9088,10.7058
261.0612,9.8136
261.2136,9.1559
261.366,9.484
261.5184,10.4243
261.6708,11.5855
261.8232,11.9336
261.9756,11.0446
262.128,9.6687
262.2804,8.8711
262.4328,9.4613
262.5852,10.608
262.7376,11.275
262.89,11.3904
263.0424,11.2259
263.1948,11.0207
263.3472,10.3753
263.4996,9.6651
263.652,9.5349
263.8044,9.8013
263.9568,10.0453
264.1092,10.1621
264.2616,11.0579
264.414,12.0712
264.5664,12.3933
264.7188,11.9212
264.8712,11.6671
265.0236,12.2746
265.176,13.1471
265.3284,13.6472
265.4808,13.7769
265.6332,14.2259
265.7856,14.1365
265.938,12.9622
266.0904,11.6859
266.2428,11.0449
266.3952,11.3611
266.5476,11.7502
266.7,11.3606
266.8524,10.4214
267.0048,10.2422
267.1572,10.7912
267.3096,11.6555
267.462,11.9229
267.6144,11.6923
267.7668,11.3596
267.9192,11.1269
268.0716,10.9652
268.224,10.7289
268.3764,10.9682
268.5288,10.68
268.6812,9.8438
268.8336,10.2168
268.986,10.9207
269.1384,10.7392
269.2908,9.9594
269.4432,9.804
269.5956,10.2771
269.748,11.0646
269.9004,11.6403
270.0528,11.539
270.2052,11.0815
270.3576,11.1355
270.51,11.6841
270.6624,12.3868
270.8148,13.0346
270.9672,12.9817
271.1196,12.3794
271.272,11.7547
271.4244,11.1375
271.5768,10.4508
271.7292,10.334
271.8816,10.74
272.034,10.9703
272.1864,10.6505
272.3388,10.3895
272.4912,10.4414
272.6436,10.8112
272.796,11.4482
272.9484,11.9368
273.1008,12.0093
273.2532,11.7066
273.4056,11.1748
273.558,10.3713
273.7104,10.3006
273.8628,10.9181
274.0152,11.3606
274.1676,11.2654
274.32,10.9146
274.4724,10.6024
274.6248,10.6947
274.7772,11.1617
274.9296,11.9991
275.082,12.3141
275.2344,11.8776
