DEPTH_WMSF,HCGR
149.1996,16.5934
149.352,17.1847
149.5044,17.905
149.6568,18.2554
149.8092,17.7031
149.9616,16.5644
150.114,14.2579
150.2664,14.6315
150.4188,15.4612
150.5712,15.67
150.7236,15.2382
150.876,15.3415
151.0284,15.6426
151.1808,15.8008
151.3332,15.8977
151.4856,15.3775
151.638,15.8994
151.7904,17.4565
151.9428,17.5699
152.0952,15.8868
152.2476,14.3333
152.4,14.8489
152.5524,15.8996
152.7048,15.702
152.8572,14.4683
153.0096,14.7145
153.162,15.0808
153.3144,15.3265
153.4668,15.9372
153.6192,15.7269
153.7716,15.6728
153.924,16.398
154.0764,16.3136
154.2288,16.0993
154.3812,16.3558
154.5336,17.507
154.686,17.1946
154.8384,16.7443
154.9908,16.6198
155.1432,16.7663
155.2956,17.4046
155.448,17.1301
155.6004,16.2747
155.7528,16.479
155.9052,16.8865
156.0576,16.397
156.21,15.6775
156.3624,15.6494
156.5148,15.2465
156.6672,13.7868
156.8196,12.4146
156.972,12.4965
157.1244,13.1265
157.2768,14.0957
157.4292,15.8813
157.5816,17.9821
157.734,20.2088
157.8864,22.0191
158.0388,23.3644
158.1912,24.9951
158.3436,26.3221
158.496,26.9383
158.6484,26.841
158.8008,27.388
158.9532,27.986
159.1056,27.6238
159.258,27.3639
159.4104,27.1176
159.5628,26.0884
159.7152,24.322
159.8676,22.2407
160.02,21.3436
160.1724,21.7077
160.3248,22.5018
160.4772,22.1478
160.6296,20.7871
160.782,19.7228
160.9344,19.4221
161.0868,20.7376
161.2392,22.2545
161.3916,22.9122
161.544,22.7679
161.6964,21.8097
161.8488,21.3947
162.0012,22.2776
162.1536,22.7404
162.306,22.2383
162.4584,22.048
162.6108,23.0488
162.7632,23.3675
162.9156,23.3991
163.068,22.4344
163.2204,21.5281
163.3728,21.4949
163.5252,20.7216
163.6776,19.0288
163.83,18.2205
163.9824,19.5065
164.1348,21.4323
164.2872,22.1388
164.4396,23.1109
164.592,23.476
164.7444,23.7791
164.8968,24.7869
165.0492,26.1564
165.2016,27.3194
165.354,27.759
165.5064,26.3014
165.6588,24.1068
165.8112,23.0358
165.9636,22.3237
166.116,21.0063
166.2684,19.628
166.4208,19.7452
166.5732,18.6669
166.7256,17.5019
166.878,16.58
167.0304,15.5172
167.1828,15.4689
167.3352,17.1666
167.4876,18.3575
167.64,17.7075
167.7924,17.2161
167.9448,18.0433
168.0972,19.2254
168.2496,20.6448
168.402,20.4423
168.5544,20.9591
168.7068,20.6555
168.8592,21.6357
169.0116,21.8047
169.164,22.597
169.3164,23.6608
169.4688,25.8391
169.6212,27.8744
169.7736,29.7592
169.926,30.2553
170.0784,30.3572
170.2308,30.1079
170.3832,28.4485
170.5356,27.6223
170.688,26.7956
170.8404,25.2154
170.9928,24.2825
171.1452,23.1017
171.2976,22.6536
171.45,23.9719
171.6024,25.3315
171.7548,25.6843
171.9072,25.8461
172.0596,26.1384
172.212,26.1501
172.3644,25.5139
172.5168,27.3217
172.6692,27.8612
172.8216,30.3959
172.974,31.6499
173.1264,30.8499
173.2788,29.3884
173.4312,29.2732
173.5836,27.7596
173.736,23.7339
173.8884,22.0073
174.0408,22.2771
174.1932,21.9251
174.3456,22.7312
174.498,24.164
174.6504,26.36
174.8028,27.8499
174.9552,28.8489
175.1076,31.5066
175.26,31.7257
175.4124,32.8461
175.5648,30.6131
175.7172,29.2017
175.8696,27.911
176.022,24.7173
176.1744,21.9389
176.3268,18.9887
176.4792,17.3604
176.6316,16.8298
176.784,14.3104
176.9364,11.9014
177.0888,10.1577
177.2412,10.278
177.3936,9.597
177.546,8.7944
177.6984,9.7891
177.8508,10.1318
178.0032,10.5295
178.1556,11.0915
178.308,10.9326
178.4604,11.6413
178.6128,13.0726
178.7652,13.5042
178.9176,13.6913
179.07,14.0641
179.2224,14.5033
179.3748,14.6382
179.5272,14.8706
179.6796,15.6546
179.832,15.7273
179.9844,16.4122
180.1368,16.5326
180.2892,16.6105
180.4416,17.7718
180.594,18.3655
180.7464,17.584
180.8988,16.779
181.0512,16.9589
181.2036,17.5923
181.356,18.5361
181.5084,18.6691
181.6608,17.8135
181.8132,17.173
181.9656,16.6793
182.118,14.8304
182.2704,14.0171
182.4228,15.2645
182.5752,16.8402
182.7276,17.5088
182.88,17.6296
183.0324,17.6738
183.1848,18.9007
183.3372,19.9375
183.4896,21.201
183.642,21.1747
183.7944,21.2335
183.9468,21.0498
184.0992,20.1838
184.2516,19.4456
184.404,19.9609
184.5564,21.0771
184.7088,20.8752
184.8612,19.6407
185.0136,20.4549
185.166,21.4292
185.3184,22.7915
185.4708,23.8216
185.6232,24.352
185.7756,25.4146
185.928,25.9951
186.0804,25.7012
186.2328,25.0913
186.3852,24.4134
186.5376,22.8886
186.69,21.1377
186.8424,19.707
186.9948,18.7919
187.1472,17.677
187.2996,16.9934
187.452,16.7881
187.6044,16.771
187.7568,17.0206
187.9092,17.9638
188.0616,19.0854
188.214,19.8379
188.3664,20.4049
188.5188,21.2237
188.6712,21.6923
188.8236,22.1001
188.976,21.4194
189.1284,19.7725
189.2808,18.4836
189.4332,17.6623
189.5856,17.0581
189.738,16.8812
189.8904,17.3631
190.0428,17.7658
190.1952,16.8093
190.3476,15.3641
190.5,14.1787
190.6524,14.538
190.8048,15.1905
190.9572,14.8252
191.1096,14.7911
191.262,15.4916
191.4144,15.8033
191.5668,15.3119
191.7192,15.2021
191.8716,16.2606
192.024,17.3051
192.1764,17.8687
192.3288,18.1901
192.4812,19.0899
192.6336,21.3137
192.786,22.0981
192.9384,21.6678
193.0908,21.8401
193.2432,22.111
193.3956,21.4514
193.548,20.0201
193.7004,18.3887
193.8528,17.5071
194.0052,16.5218
194.1576,16.5238
194.31,16.8637
194.4624,18.2628
194.6148,19.6124
194.7672,19.5955
194.9196,17.6805
195.072,15.8767
195.2244,15.0143
195.3768,15.1866
195.5292,15.2575
195.6816,16.0777
195.834,16.3155
195.9864,15.4778
196.1388,15.2632
196.2912,15.3123
196.4436,15.9493
196.596,17.8056
196.7484,19.3357
196.9008,20.2182
197.0532,19.9392
197.2056,19.5561
197.358,19.3136
197.5104,18.3602
197.6628,16.9647
197.8152,16.2981
197.9676,15.5842
198.12,14.7198
198.2724,14.9907
198.4248,16.328
198.5772,16.2614
198.7296,15.8777
198.882,15.3826
199.0344,16.0172
199.1868,18.4907
199.3392,21.6202
199.4916,22.8004
199.644,23.2287
